5.000000000000000000e+00 3.309633029053132691e-11 9.582927865124566386e-10
1.000000000000000000e+01 1.148876683943358569e-05 1.767691415041061631e-04
1.500000000000000000e+01 6.550724150932218720e-04 7.119157200990230625e-03
2.000000000000000000e+01 4.492492948869064757e-03 3.876750397235430301e-02
2.500000000000000000e+01 1.352931475373236880e-02 9.882179728686078801e-02
3.000000000000000000e+01 2.732491322222963329e-02 1.758590111635252307e-01
3.500000000000000000e+01 4.422407770990689074e-02 2.577842888244532560e-01
4.000000000000000000e+01 6.259783855278103215e-02 3.372553468340112603e-01
4.500000000000000000e+01 8.129402962914697439e-02 4.113030405488831143e-01
5.000000000000000000e+01 9.965534592972834227e-02 4.797238683672492288e-01
5.500000000000000000e+01 1.174014734021843198e-01 5.437471607807042862e-01
6.000000000000000000e+01 1.345015486968401397e-01 6.052032687633908115e-01
6.500000000000000000e+01 1.510753629051509728e-01 6.660899576068718408e-01
7.000000000000000000e+01 1.673274981426460806e-01 7.283921841337115399e-01
7.500000000000000000e+01 1.835079177161059727e-01 7.940426285839370379e-01
8.000000000000000000e+01 1.998910294232350005e-01 8.649525581491677162e-01
8.500000000000000000e+01 2.167667386549435304e-01 9.430751211487453656e-01
9.000000000000000000e+01 2.344389964282688199e-01 1.030482956142469986e+00
9.500000000000000000e+01 2.532289668943570327e-01 1.129451988012721841e+00
1.000000000000000000e+02 2.734810305228224103e-01 1.242547340941684952e+00
1.050000000000000000e+02 2.955704935812630274e-01 1.372708364617639898e+00
1.100000000000000000e+02 3.199122327065776483e-01 1.523329631528396622e+00
1.150000000000000000e+02 3.469696843005741771e-01 1.698334369269983712e+00
1.200000000000000000e+02 3.772636778559183002e-01 1.902236591334857341e+00
1.250000000000000000e+02 4.113806630198531544e-01 2.140188353556194301e+00
1.300000000000000000e+02 4.499799234601259412e-01 2.418009107365316712e+00
1.350000000000000000e+02 4.937994224952073630e-01 2.742194975050118000e+00
1.400000000000000000e+02 5.436599906184523823e-01 3.119906822713576666e+00
1.450000000000000000e+02 6.004676428156141554e-01 3.558937127458057681e+00
1.500000000000000000e+02 6.652138997032952528e-01 4.067656709978425766e+00
1.550000000000000000e+02 7.389740742028723108e-01 4.654943339718386142e+00
1.600000000000000000e+02 8.229035698255493525e-01 5.330094955215479935e+00
1.650000000000000000e+02 9.182323114069409487e-01 6.102730746624022373e+00
1.700000000000000000e+02 1.026257492003950667e+00 6.982683617404786602e+00
1.750000000000000000e+02 1.148334867102122292e+00 7.979887595699992175e+00
1.800000000000000000e+02 1.285868860315285023e+00 9.104263634873738908e+00
1.850000000000000000e+02 1.440301762131421803e+00 1.036560696638774104e+01
1.900000000000000000e+02 1.613102306780130224e+00 1.177347878861356989e+01
1.950000000000000000e+02 1.805753906642647566e+00 1.333710463118884348e+01
2.000000000000000000e+02 2.019742804881490272e+00 1.506528126167949111e+01
2.050000000000000000e+02 2.256546385586210679e+00 1.696629352830059290e+01
2.100000000000000000e+02 2.517621850200926659e+00 1.904784208139555801e+01
2.150000000000000000e+02 2.804395440159972885e+00 2.131698250366195069e+01
2.200000000000000000e+02 3.118252351521753951e+00 2.378007601476576127e+01
2.250000000000000000e+02 3.460527457463357326e+00 2.644275160556528448e+01
2.300000000000000000e+02 3.832496922485001623e+00 2.930987920220304943e+01
2.350000000000000000e+02 4.235370765083698252e+00 3.238555325945478813e+01
2.400000000000000000e+02 4.670286400207071864e+00 3.567308603244266152e+01
2.450000000000000000e+02 5.138303170362596539e+00 3.917500967140746582e+01
2.500000000000000000e+02 5.640397853867321842e+00 4.289308621883746042e+01
